id,question,answer,category,table_id,output,answer_format
0,At what age can an Australian both serve and be deployed in the Australian Defence Force?,18,army,1116,"According to the table, the age requirements for the Australian Defence Force are as follows:
- 17 years to serve
- 18 years to deploy

Therefore, an Australian can both serve and be deployed in the Australian Defence Force starting at the age of 18.
Final Answer: 18 years old",<num_years>
1,"After 2024, what year after will the next celebration of Purim occur?",2025,holiday,206,"Purim is an annual holiday, meaning it occurs once every year. After the celebration in 2024, the next celebration will occur in the following year, 2025.
Final Answer: 2025",yyyy
2,"At what age can an Australian first be selected, serve, be deployed, and be eligible for selective service in the Australian Defence Force?",19,army,1116,"According to the table, the ages at which an Australian can be selected, serve, be deployed, and be eligible for special forces deployment in the Australian Defence Force are as follows:

- **Selected**: 16.5 years
- **Serve**: 17 years
- **Deployed**: 18 years
- **Special Forces Deployment**: 19 years

Final Answer: 16.5 years (selected), 17 years (serve), 18 years (deployed), 19 years (special forces deployment).",<num_years>
3,At what age did Brian Lara play for Southern Rocks?,41,cricket,528,"Brian Lara was born on 2 May 1969. He played for Southern Rocks in 2010. To find out his age in 2010, subtract the birth year from the year he played: 2010 - 1969 = 41. Since his birthday on 2 May had already occurred by the time he played in 2010, he was 41 years old.
Final Answer: 41 years old.",<num_years>
4,At what age did Brian Lara play his last ODI?,37,cricket,528,"Brian Lara was born on 2 May 1969. His last ODI was on 21 April 2007. To find out how old he was at the time of his last ODI, we calculate the difference between these two dates:

1. From 2 May 1969 to 2 May 2007 is 38 years.
2. Since his last ODI was on 21 April 2007, which is before his birthday in 2007, he was still 37 years old at the time of his last ODI.

Final Answer: 37 years old.",<num_years>
5,What year did Jenson Button first participate in the Australian Grand Prix?,2000,f1,0,"Jenson Button's first entry in the Formula One World Championship was at the 2000 Australian Grand Prix. This indicates that he first participated in the Australian Grand Prix in the year 2000.
Final Answer: 2000",yyyy
6,At what age did Chiyonofuji Mitsugu retire?,36,sumo,131,"Chiyonofuji Mitsugu was born on June 1, 1955, and retired in May 1991. To find out how old he was at the time of his retirement, we calculate the difference between 1991 and 1955. 

1991 - 1955 = 36

Since he retired in May and his birthday is in June, he had not yet turned 36 in May 1991. Therefore, he was 35 years old at the time of his retirement.
Final Answer: 35 years old",<num_years>
7,After what age does the most common onset of gallbladder cancer occur?,65,disease,1201,"The table states that the usual onset of gallbladder cancer is above 65 years old. This means that the most common onset of gallbladder cancer occurs after the age of 65.
Final Answer: After the age of 65.",<num_years>
8,After what date was Hurricane Gaston on land?,"August 29, 2004",cyclone,957,"Hurricane Gaston formed on August 27, 2004, and dissipated on September 3, 2004. The image caption states that Gaston moved ashore on August 29, 2004. Therefore, after August 29, 2004, Hurricane Gaston was on land.
Final Answer: After August 29, 2004.","%B %d, %Y"
9,"After winning a bronze medal at the 2001 Mediterranean Games, in which year did Alejandro Valverde next win a medal at the World Championships?",2003,cycling,99,"Alejandro Valverde won a bronze medal at the 2001 Mediterranean Games. The next World Championships medal he won was a silver medal at the 2003 World Championships in Hamilton. Therefore, the year he next won a medal at the World Championships after 2001 was 2003.
Final Answer: 2003",yyyy
