id,question,answer,category,table_id,output
0,How many years did Art Carney work as an actor starting from 1939?,54,actor,2,"For each table, provide a step-by-step explanation of the question.

Q: How long after Davis's career began did she take the photo?

A:Davis's career began in 1929. The photo was taken in 1935, so she took the photo 1935-1929=6 years after her career began.

The answer is 6"
1,How many years before he died did Art Carney last get married?,23,actor,2,"The answer to the first question is 1981, and the answer to the second question is 6. The answers are 1981 and 6"
2,How old was Art Carney when he first got divorced?,47,actor,2,"Art Carney was born on November 4, 1918, and died on November 9, 2003. He was 85 years old at the time of his death. Carney first got divorced from his first wife, Jean Myers, in 1965. He was 47 years old at the time of the divorce. The answer is 47"
3,How many years ago did Art Carney die?,19,actor,2,"Let's solve the multi-choice question step by step.
The answer is 2003, which is 9 years before 2012 (the year the question was written).
The answer is 9 years
The answer is 9 years"
4,For how many years had Benedict Cumberbatch been acting when he got married?,17,actor,3,"Benedict Cumberbatch has been acting since 1998, so he had been acting for 1998-2015=17 years when he got married in 2015. The answer is 17"
5,How many years prior to Cumberbatch turning 45 was the picture taken?,2,actor,3,Cumberbatch was born on 19 July 1976. The year 2019 - the year the photo was taken - is 2019-1976=43 years later. The answer is 43
6,How old was Cumberbatch when his career began?,22,actor,3,Benedict Cumberbatch's career began in 1998. He was 22 years old then. The answer is 22
7,How old was Benedict Cumberbatch when he started acting?,22,actor,3,"Benedict Cumberbatch has been acting since 1998. He was born in 1976, so he was 22 years old when he started acting. The answer is 22"
8,How many years has Benedict Cumberbatch been acting?,24,actor,3,"Benedict Cumberbatch has been acting for 19 years, starting in 1998. The year 2022 is 2022, which is after 1998, so he has been acting for at least 24 years. The answer is 24"
9,For how many years has Benedict Cumberbatch been married?,7,actor,3,"Benedict Cumberbatch has been married to Sophie Hunter since 2015. The years 2015 and 2022 are 7 and 1 years apart, respectively. The answer is 7"
10,How old was Benedict Cumberbatch when he began acting?,22,actor,3,"Benedict Cumberbatch began acting in 1999. However, his first credited role was in 1998. So, he began acting 1998-1999=1 year before the question. The answer is 1"
11,How old was Dwayne Johnson when he began his wrestling career?,24,wrestling,7,Dwayne Johnson began his wrestling career in 1996 when he was 24 years old.
12,How old was Dwayne Johnson when he made his acting debut?,27,wrestling,7,"Dwayne Johnson has been an actor since 1999, so he was 27 when he made his acting debut. The answer is 27"
13,How many years after Dwayne Johnson's wrestling debut was his retirement?,23,wrestling,7,"Table:\n\ncategory\nwrestling\n\nDwayne Johnson\nBorn\tDwayne Douglas Johnson | ( | 1972-05-02 | ) | May 2, 1972 | (age 50) | Hayward, California, U.S.\nAlma mater\tUniversity of Miami (BGS)\nOccupation\tActor | producer | professional wrestler | businessman\nYears active\t1996-2004; 2011-2013; 2016, (wrestling) | 1999-present (acting)\nSpouse(s)\tDany Garcia | ( | married |  1997; | divorced |  2008) | Lauren Hashian | ( | married |  2019)\nChildren\t3\nFamily\tAnoa'i\n['Dwayne Johnson 2014 (cropped).jpg | Johnson in 2014']\n\nProfessional wrestling career\n"
14,How many years after his debut did he retire?,23,wrestling,7,"To answer the first question, subtract the start year from the retirement year: 2019-1996=23. The answer is 23"
15,How many years was Joan Crawford active?,50,actor,8,"Let's answer each question step by step.
The answer is 6 years
The answer is 1979
The answer is 1929
The answer is 1982
The answer is 1952
The answer is 1978
The answer is 1935
The answer is 1929-1989
The answer is 61
The answer is 1955-1979
The answer is 64
The answer is 1979-1982
The answer is 2
The answer is 1935-1982
The answer is 57
The answer is 1979-2013
The answer is 34
The answer is 1935-2013
The answer is 78
The answer is 1979-2013
The answer is 34
The answer is 1935-2013
The answer is 78
The answer is 1979-2013
The answer is"
16,How many years did Joan Crawford and Franchot Tone live together?,4,actor,8,"Crawford and Tone were married from 1935 to 1939, which is 4 years. The answer is 4"
17,How many years was Joan Crawford active?,50,actor,8,"Joan Crawford was active from 1924 to 1974, for a total of 50 years. The answer is 50"
18,How many years was Joan Crawford's career active?,50,actor,8,"The first table has 6 rows, so the number of years between the start and photo years is 6 rows / 2 rows/year = 3 years. The second table has 7 columns, so Joan Crawford's career was active for 7 columns / 2 columns/year = 3.5 years. The answer is 3"
19,How many years were Joan Crawford and Alfred Steele married?,4,actor,8,"The first table gives the number of years between the start and end years of each activity. For Joan Crawford, the number of years between the start and end years of her career is 1924-1974=50. The answer is 50"
20,How long in years did each of Joan Crawford's marriages last?,4,actor,8,"Joan Crawford was married four times. Her first marriage lasted 4 years. Her second marriage lasted 4 years. Her third marriage lasted 4 years. Her fourth marriage lasted 3 years. In total, her marriages lasted 4 + 4 + 4 + 3 = 14 years. The answer is 14"
21,At what age did Hebar Pazardzhik originally retire from his career?,39,wrestling,13,Austin started his professional wrestling career in 1989 at the age of 24. He retired from his original career in 2003 at the age of 38. The age at which he originally retired from his career is 2003-1989=14 years. The answer is 14
22,How many years ago did Hebar Pazardzhik debut his first match?,33,wrestling,13,"To answer the question, we need to find the difference between the year Steve Austin debuted his first match and the present year. The present year is 2022, so we subtract 1989 (the year Austin debuted) from 2022:

2022 - 1989 = 33 years

The answer is 33"
23,For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?,5,wrestling,13,"Let x be the number of years Steve Austin was married to Kathryn Burrhus. He was married to Jeanie Clarke for x + 1 years.
The total number of years Austin was married is x + x + 1 = 2x + 1.
The number of years Austin was married to Clarke is 2x + 1 - x = 1 more than the number of years he was married to Burrhus.
The answer is 1"
24,How old was Steve Austin when he started his wrestling career?,25,wrestling,13,"Steve Austin began his professional wrestling career on September 30, 1989, when he was 24 years old. The answer is 24"
25,How many years elapsed between Steve Austin's first retirement and his return match?,19,wrestling,13,"Table:\n\nTitle\t""The Farewell""\n""The Farewell""\t['The Farewell.jpg']\n\n2019 comedy-drama film\n\nDirected by\tLulu Wang\nWritten by\tLulu Wang\nBased on\tA Billion Years of Solitude\nStarring\tAwkwafina | Tzi Ma | Diana Lin | Jiang Yongbo | Zhao Shuzhen | Chen Han | Ronny Chieng | Li Jun | Jiang Yongquan | Tian Liang | Xi Xi | Han Chen | Xingchen Yang | Yongbo Jiang | Ying Luo | Diana Lin | Xi Xi | Zijian Dong | Yongbo Jiang | Jing Lusi | Haoyu Yang\nMusic by\tLudwig Göransson\nCinematography\tSayombhu Mukdeeprom\nEditing by\tJulian Clarke\nProduction companies\tA24 | FilmRights | Parts and Labor | Waypoint Entertainment"
26,How old was Steve Austin when he began his professional wrestling career?,25,wrestling,13,"Steve Austin began his professional wrestling career on September 30, 1989, when he debuted as The Ringmaster. He was 24 years old at the time. The answer is 24"
27,How old was Steve Austin when he originally retired from professional wrestling?,38,wrestling,13,"Steve Austin originally retired from professional wrestling on March 30, 2003, at the age of 38. The answer is 38"
28,How many years after Ethiopia was first established did Mekelle become its capital?,601,empire,22,"The first Ethiopian Empire was established in 1270, and Mekelle became the capital in 1889, which is 699 years later. The answer is 699.
Final Answer:699"
29,How many years longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?,3,empire,22,"Yekuno Amlak reigned for 16 years. Habte Giyorgis was prime minister from 1909 to 1927, a total of 18 years. 18 - 16 = 2 years. The answer is 2"
