id,question,answer,category,table_id,output,answer_format
0,At what age did Adolf von Baeyer marry Adelheid Bendemann?,33,nobel,369,"Adolf von Baeyer married Adelheid Bendemann in 1868. He was born on 31 October 1835. To find out his age at marriage, subtract his birth year from the year he got married: 1868 - 1835 = 33.
Final Answer: 33 years old",<num_years>
1,At what age did Adolf von Baeyer receive the Nobel Prize?,70,nobel,369,"Adolf von Baeyer was born on 31 October 1835 and received the Nobel Prize for Chemistry in 1905. To find out his age when he received the Nobel Prize, subtract his birth year from the year he received the prize: 1905 - 1835 = 70.
Final Answer: 70 years old",<num_years>
2,At what age did Albert A. Michelson die?,78,nobel,370,"Albert A. Michelson was born on December 19, 1852, and died on May 9, 1931. To find his age at death, subtract his birth year from his death year: 1931-1852=79. However, since he did not reach his birthday in 1931, we subtract one year: 79-1=78.
Final Answer: 78 years old",<num_years>
3,At what age did Albert A. Michelson marry his first wife Margaret Hemingway?,25,nobel,370,"Albert A. Michelson was born on December 19, 1852. He married his first wife, Margaret Hemingway, in 1877. To find out his age at the time of marriage, subtract his birth year from the year he got married: 1877 - 1852 = 25.
Final Answer: 25 years old",<num_years>
4,At what age did Albert A. Michelson marry his second wife Edna Stanton?,47,nobel,370,"Albert A. Michelson married his second wife, Edna Stanton, in 1899. He was born on December 19, 1852, so to find out his age at the time of marriage, we subtract the year of birth from the year of marriage: 1899 - 1852 = 47 years old.
Final Answer: 47 years old",<num_years>
5,Approximately how many months after being apprehended did Jeffrey Epstein die by suicide?,1,person,340,"Jeffrey Epstein was apprehended on July 6, 2019, and he died on August 10, 2019. To find out how many months after being apprehended he died, we calculate the difference between the two dates. From July to August is one month, and since he was apprehended in the middle of July, he died in the middle of August, so the time frame is less than a full month. However, since the question asks for the number of months, we can round up to the nearest whole month, which is 1 month.
Final Answer: 1 month",<num_months>
6,At what age did Bev Francis retire from her career?,36,body builder,778,"Bev Francis was born on 15 February 1955. She retired in 1991. To find out her age at retirement, subtract her birth year from the year she retired: 1991 - 1955 = 36.
Final Answer: 36 years old",<num_years>
7,At what age did Brandon Miller earn a spot on the 2nd Team All-Pro?,34,lacrosse,644,"Brandon Miller was born on May 4, 1979, and he was 43 years old in 2022. He was named to the 2nd Team All-Pro in 2013. To find out his age in 2013, subtract his birth year from 2013: 2013 - 1979 = 34. Therefore, he was 34 years old when he earned a spot on the 2nd Team All-Pro.
Final Answer: 34 years old",<num_years>
8,At what age did Gorshkova begin skating?,4,figure skating,743,"Kristina Gorshkova was born on 18 February 1989. She began skating in 1993. To find out her age when she started skating, subtract the year she started from her birth year: 1993 - 1989 = 4.
Final Answer: 4 years old",<num_years>
9,At what age did Hebar Pazardzhik originally retire from his career?,39,wrestling,13,"Steve Austin, also known as ""Stone Cold"" Steve Austin, originally retired from his wrestling career on March 30, 2003. He was born on December 18, 1964. To find out his age at retirement, subtract his birth year from the year he retired: 2003 - 1964 = 39.
Final Answer: 39 years old",<num_years>
