id,question,answer,category,table_id,output,answer_format
0,At what age can an Australian both serve and be deployed in the Australian Defence Force?,18,army,1116,"To determine the age at which one can both serve and be deployed in the Australian Defence Force, we need to look at the military age requirements for each aspect.

- **To serve:** The minimum age to serve in the Australian Defence Force is 17 years old.
- **To deploy:** The minimum age to deploy is 18 years old.

Therefore, an individual must be at least 18 years old to both serve and be deployed in the Australian Defence Force.

Final Answer: 18 years old",<num_years>
1,"After 2024, what year after will the next celebration of Purim occur?",2025,holiday,206,"To determine the year after 2024 when the next celebration of Purim will occur, we need to understand the pattern of the date for Purim. According to the table, Purim is celebrated on the 14th day of Adar (or the 15th day of Adar in Jerusalem and all ancient walled cities).

The dates provided for Purim in subsequent years show a consistent pattern where the celebration shifts based on the lunar calendar, which means it usually falls on different Gregorian dates each year. However, the key point is that the date is determined by the Hebrew calendar, not the Gregorian one.

Since the dates given for Purim in the subsequent years (2023, 2024, etc.) are spaced approximately 354 days apart (the length of one Hebrew year), we can infer that Purim will be celebrated again in the same relative position within the Gregorian calendar about every 12 months.

Given that the next celebration after 2024 will be in 2025, we can conclude that the next celebration of Purim will occur in 2025.

Final Answer: 2025",yyyy
2,"At what age can an Australian first be selected, serve, be deployed, and be eligible for selective service in the Australian Defence Force?",19,army,1116,"To determine the ages at which one can be selected, serve, be deployed, and be eligible for selective service in the Australian Defence Force, we need to look at the specific age requirements provided in the table.

1. **Selection**: The table states that military age for selection is 16.5 years.
2. **Serve**: The table indicates that the minimum age to serve is 17 years.
3. **Deploy**: The table shows that the minimum age to deploy is 18 years.
4. **Selective Service**: The table mentions that there is no conscription (conscription = No, abolished).

Thus, the answers are:
- Selected: 16.5 years
- Serve: 17 years
- Deploy: 18 years
- Selective Service: Not applicable (as conscription is abolished)

Final Answer: An individual can be selected at 16.5 years, serve at 17 years, be deployed at 18 years, and is not eligible for selective service since conscription is abolished.",<num_years>
3,At what age did Brian Lara play for Southern Rocks?,41,cricket,528,"To determine the age at which Brian Lara played for Southern Rocks, we need to follow these steps:

1. Identify the year when Lara played for Southern Rocks.
2. Calculate his age based on his birth year.

From the table, we can see under ""Domestic team information"" that:
- 2010: Southern Rocks

Brian Lara was born on 2 May 1969. 

To find out how old he was in 2010, we subtract his birth year from 2010:
2010 - 1969 = 41

Therefore, Brian Lara was 41 years old when he played for Southern Rocks in 2010.

Final Answer: 41",<num_years>
4,At what age did Brian Lara play his last ODI?,37,cricket,528,"To determine Brian Lara's age when he played his last ODI, we need to follow these steps:

1. Identify the date of his last ODI: 21 April 2007.
2. Determine Brian Lara's birth date: 2 May 1969.
3. Calculate the difference between these dates.

First, let's calculate the difference between 21 April 2007 and 2 May 1969:

- From 2 May 1969 to 31 December 1969: 8 months and 29 days.
- From 1 January 2007 to 21 April 2007: 4 months and 20 days.

Now, summing up the years and months:
- From 1969 to 2006: 37 years.
- Adding the months: 8 + 4 = 12 months, which is exactly one year.

So, the total time span is 38 years.

Since his birthday (2 May) comes after his last ODI (21 April), we need to subtract one year from the total span.

Therefore, Brian Lara was 37 years old when he played his last ODI.

Final Answer: 37",<num_years>
5,What year did Jenson Button first participate in the Australian Grand Prix?,2000,f1,0,"To determine the year Jenson Button first participated in the Australian Grand Prix, I'll refer to the information provided in the table under ""Formula One World Championship career."" Specifically, it states that his ""First entry was 2000 Australian Grand Prix.""

Final Answer: 2000",yyyy
6,At what age did Chiyonofuji Mitsugu retire?,36,sumo,131,"To determine Chiyonofuji Mitsugu's age at retirement, we need to calculate the difference between his retirement date and his birthdate.

From the table:
- Chiyonofuji Mitsugu was born on June 1, 1955.
- He retired in May 1991.

Since he retired in May 1991 and was born in June 1955, we can conclude that he had not yet reached his birthday in 1991. Therefore, we need to count the full years between his birth year and the year he retired.

1991 - 1955 = 36 years

Final Answer: Chiyonofuji Mitsugu retired at the age of 36.",<num_years>
7,After what age does the most common onset of gallbladder cancer occur?,65,disease,1201,"To determine the most common onset age for gallbladder cancer, we need to look at the information provided in the table under ""Usual onset.""

The table states: ""Usual onset: Above 65 years old""

Therefore, the most common onset of gallbladder cancer occurs above the age of 65.

Final Answer: Above 65 years old",<num_years>
8,After what date was Hurricane Gaston on land?,"August 29, 2004",cyclone,957,"To determine the date when Hurricane Gaston was on land, we need to look at the information given about its formation and dissipation.

1. **Formation Date**: August 27, 2004
2. **Dissipation Date**: September 3, 2004

Given that Hurricane Gaston formed on August 27 and dissipated on September 3, it must have made landfall somewhere within this period. The question asks for the date after which the hurricane was on land.

Since the hurricane dissipated on September 3, it was on land after that date.

Final Answer: September 3, 2004","%B %d, %Y"
9,"After winning a bronze medal at the 2001 Mediterranean Games, in which year did Alejandro Valverde next win a medal at the World Championships?",2003,cycling,99,"From the information given, we can see that Alejandro Valverde won his first World Championship medal in 2003, which was a silver medal at the road race event in Hamilton. After this, the next year he won a medal at the World Championships was 2005, when he also won a silver medal at the road race event in Madrid.
Final Answer: 2005",yyyy
