question,answer,category,table_id,answer_format
At what age can an Australian both serve and be deployed in the Australian Defence Force?,18,army,1116,<num_years>
"After 2024, what year after will the next celebration of Purim occur?",2025,holiday,206,yyyy
"At what age can an Australian first be selected, serve, be deployed, and be eligible for selective service in the Australian Defence Force?",19,army,1116,<num_years>
At what age did Brian Lara play for Southern Rocks?,41,cricket,528,<num_years>
At what age did Brian Lara play his last ODI?,37,cricket,528,<num_years>
What year did Jenson Button first participate in the Australian Grand Prix?,2000,f1,0,yyyy
At what age did Chiyonofuji Mitsugu retire?,36,sumo,131,<num_years>
After what age does the most common onset of gallbladder cancer occur?,65,disease,1201,<num_years>
After what date was Hurricane Gaston on land?,"August 29, 2004",cyclone,957,"%B %d, %Y"
"After winning a bronze medal at the 2001 Mediterranean Games, in which year did Alejandro Valverde next win a medal at the World Championships?",2003,cycling,99,yyyy
Around which year will the next orbital period begin starting from the time of perihelion?,2206,planet,1138,yyyy
"Between 2021 and 2024, how many years does Mardi Gras take place in February?",3,holiday,218,<num_years>
"Between 2021 and 2024, which year does Purim occur the earliest in the year?",2021,holiday,206,yyyy
"Between 2021 and 2024, which year does Purim occur the latest in the year?",2024,holiday,206,yyyy
"Between 2021 and 2024, which year does Sukkot occur earliest in the year?",2021,holiday,219,yyyy
"Between 2021 and 2024, which year does Sukkot occur latest in the year?",2024,holiday,219,yyyy
By how many days did the Black Friday dates differ between 2022 and 2021?,1,holiday,214,<num_days>
By how many days did the National Election Day dates differ in 2022 and 2023?,1,holiday,209,<num_days>
At what age did Dhanraj Pillay compete in his first Asian Games?,22,hockey,485,<num_years>
At what age did Dhanraj Pillay join the National team?,21,hockey,485,<num_years>
At what age did Dhanraj Pillay play for Indian Gymkhana?,24,hockey,485,<num_years>
At what age did Don Bradman join his second domestic team?,27,cricket,527,<num_years>
At what age did Don Bradman play for the national side?,20,cricket,527,<num_years>
At what age did Don Bradman play his last Test?,40,cricket,527,<num_years>
At what age did Eddy Merckx last win 34 individual stages at the Tour de France?,30,cycling,635,<num_years>
At what age did Eddy Merckx win gold at the 1964 World Championships?,19,cycling,635,<num_years>
What year did Rubens Barrichello have his best finish in his Stock Car Brasil career?,2014,f1,51,yyyy
At what age did Farag turn professional?,17,squash,106,<num_years>
At what age did Gagan Ajit Singh win a medal at the Asian Games?,22,hockey,486,<num_years>
At what age did Gagan Ajit Singh win a medal at the Champions Challenge?,21,hockey,486,<num_years>
At what age did Haguroyama Masaji achieve his highest rank?,26,sumo,137,<num_years>
At what age did Haguroyama Masaji receive his highest ranking?,27,sumo,137,<num_years>
By how many days do the dates of Black Friday differ between 2021 and 2024?,3,holiday,214,<num_days>
How many days after being completed was the Maori commissioned?,5,ship,1111,<num_days>
At what age did Haguroyama Masaji retire?,39,sumo,137,<num_years>
At what age did Jenson Button become active in his career?,20,f1,259,<num_years>
At what age did Jenson Button win his first Hungarian Grand Prix?,26,f1,259,<num_years>
At what age did Jenson Button win his last Brazilian Grand Prix?,32,f1,259,<num_years>
How many days after being launched was the Maori commissioned?,459,ship,1111,<num_days>
At what age did Kimi Räikkönen enter his first Formula One World Championship?,22,f1,344,<num_years>
At what age did Kimi Räikkönen get divorced?,35,f1,344,<num_years>
At what age did Kimi Räikkönen win his first Formula One World Championship?,24,f1,344,<num_years>
At what age did Mohamed El Shorbagy turn pro?,15,squash,108,<num_years>
At what age did Mohamed El Shorbagy win the World Team Championship?,20,squash,108,<num_years>
How long in months did it last as Adal?,17,political party,932,<num_months>
At what age did Riccardo Patrese first win the Monaco Grand Prix?,28,f1,261,<num_years>
At what age did Riccardo Patrese start his career?,23,f1,261,<num_years>
At what age did Riccardo Patrese win the Japanese Grand Prix?,38,f1,261,<num_years>
At what age did Roger De Vlaeminck win his first World Championships gold medal?,28,cycling,637,<num_years>
At what age did Roger De Vlaeminck win the Vuelta a España in 1984?,37,cycling,637,<num_years>
At what age did Roger De Vlaeminck win the Vuelta a España?,37,cycling,637,<num_years>
At what age did Sebastian Vettel win his first Italian Grand Prix?,21,f1,262,<num_years>
At what age did Sebastian Vettel win his last race at the Singapore Grand Prix?,32,f1,262,<num_years>
For how many years did Dhanraj Pillay play for the national side?,15,hockey,485,<num_years>
For how many years did Jenson Button's professional career last?,17,f1,0,<num_years>
For how many years did Raymond Poulidor belong to a professional team?,17,cycling,104,<num_years>
During what year did Ciriello win the most overall gold medals?,2014,hockey,670,yyyy
For how many years did Sanath Jayasuriya play for Bloomfield?,17,cricket,56,<num_years>
For how many years did Shohei Yamamoto play in the senior division?,18,boxing,484,<num_years>
For how many years did Viv Richards play domestically?,22,cricket,57,<num_years>
In which year did Alejandro Valverde achieve his first Tour de France victory?,2005,cycling,99,yyyy
For how many years had Chiyonofuji been a sumo wrestler since 1970?,21,sumo,131,<num_years>
For how many days is Diwali celebrated?,5,holiday,216,<num_days>
For how many years has the current form of the Saudi Arabian Armed Forces been in effect?,79,army,1122,<num_years>
What year did Felice Gimondi win his first medal?,1970,cycling,100,yyyy
For how many years was ExoMars launched?,6,orbitor,461,<num_years>
How long in years did Kapil Dev play ODI cricket?,16,cricket,52,<num_years>
How long in years did Sachin Tendulkar play for Mumbai?,25,cricket,526,<num_years>
For how many days was Hurricane Gaston over the water?,3,cyclone,957,<num_days>
What year did Gino Bartali first join the amateur team?,1931,cycling,102,yyyy
How long in years did Sanath Jayasuriya play for his national team?,22,cricket,56,<num_years>
How long in years did Sean Kelly compete in professional teams?,17,cycling,105,<num_years>
How long in years did Shohei Yamamoto's youth career last?,5,boxing,484,<num_years>
How long in years did the USA support the Insurgency in Laos starting from 1975?,15,proxy war,987,<num_years>
What year did Joop Zoetemelk win gold at the World Championships?,1985,cycling,103,yyyy
"Given she swam 4 laps, what was the average number of seconds it took Alia Atkinson to swim a lap, rounded to the nearest integer?",16,sports event,1031,<num_seconds>
How long in years did the Years of Lead last in Italy?,26,proxy war,1020,<num_years>
In which year did Poulidor win a silver medal at the World Championships?,1974,cycling,104,yyyy
In what year did Poulidor join a professional team?,1960,cycling,104,yyyy
In what year was Raymond Poulidor's best finish in a championship?,1974,cycling,104,yyyy
In what year did Raymond Poulidor first receive a medal in a championship?,1961,cycling,104,yyyy
How long in years has Paul Coll been active in his career?,12,squash,109,<num_years>
How long in years has the Saudi Arabian Armed Forces been in existence?,277,army,1122,<num_years>
How long in years has the United Sabah Party been affilliated with Barisan Nasional?,21,political party,184,<num_years>
How long in years was Sachin Tendulkar a member of parliament?,6,cricket,526,<num_years>
In what year did Sean Kelly last win a medal at the World Championships?,1989,cycling,105,yyyy
How long in years was Sachin Tendulkar a part of the national side?,24,cricket,526,<num_years>
In what year did Sean Kelly attend his first World Championships?,1982,cycling,105,yyyy
In what year did Ali Farag win his first team gold at the World Team Championships?,2017,squash,106,yyyy
How many more years did Alejandro Valverde spend with Illes Balears–Banesto than with Kelme–Costa Blanca?,3,cycling,99,<num_years>
How many more years did Lal play for Delhi than for Punjab?,4,cricket,53,<num_years>
How many more years did Madan Lal spend at Delhi than in Punjab?,14,cricket,53,<num_years>
How many more years did Richards play for the Leeward Islands than for Glamorgan?,17,cricket,57,<num_years>
How many more years did the Malayan Emergency last after the independence of the Federation of Malaya?,3,proxy war,997,<num_years>
How many more years did Winston Churchill serve as a leader than Harold Macmillan?,1,proxy war,997,<num_years>
How many more years did Younis play for Surrey than for Glamorgan?,2,cricket,55,<num_years>
What year did Joel Makin reach his highest ranking?,2021,squash,107,yyyy
What year did Joel Makin turn professional?,2014,squash,107,yyyy
How many more years until the next IBSF World Championships?,2,sports event,203,<num_years>
How many more years was Arnaldo Schulz a leader or commander than Filipe Samuel Magaia?,2,proxy war,1000,<num_years>
How long in months did the 2002 Atlantic hurricane season last?,3,cyclone,1090,<num_months>
How many more years was Rhodesia a belligerent than FROLIZI?,13,proxy war,1001,<num_years>
How many more years was Valverde with the Puente Tocinos team than with Illes Balears–Banesto?,4,cycling,99,<num_years>
How many total years did Gino Bartali ride for professional teams?,19,cycling,102,<num_years>
How many total years did Kimi Räikkönen compete?,17,f1,344,<num_years>
How many total years did Yamamoto play in his senior career?,17,boxing,484,<num_years>
How many total years was Michael Schumacher active in his career?,17,f1,345,<num_years>
What year did Paul Coll win a silver medal at the Commonwealth Games?,2018,squash,109,yyyy
In what year did Paul Coll receive his first silver medal?,2018,squash,109,yyyy
How many years after achieving his highest rank did Kaiō Hiroyuki retire?,11,sumo,145,<num_years>
