id,question,answer,category,table_id,output
0,How many years did Art Carney work as an actor starting from 1939?,54,actor,2,"1939 to 1993 is 55 years. Carney died in 2003, so he worked 2003-1939= 64 years as an actor. 64-55= 9 years. The answer is 9"
1,How many years before he died did Art Carney last get married?,23,actor,2,"1965-1980 = 15 years
1980-1993 = 13 years
15+13 = 28 years
The answer is 28"
2,How old was Art Carney when he first got divorced?,47,actor,2,"

First got divorced in 1965.
Art Carney was born in 1918.
So, he was 47 years old when he first got divorced.
The answer is 47"
3,How many years ago did Art Carney die?,19,actor,2,"2003-11-09 = 2003- (2022-12-01) = 20 years ago
The answer is 20"
4,For how many years had Benedict Cumberbatch been acting when he got married?,17,actor,3,"2015 - 1998 = 17 years
So he had been acting for 17 years when he got married.
The answer is 17"
5,How many years prior to Cumberbatch turning 45 was the picture taken?,2,actor,3,"

Cumberbatch was born on 19 July 1976. 

45 - 19 = 26

The picture was taken in 2015, which is 29 years after Cumberbatch’s birth. 

29 - 26 = 3 years prior to Cumberbatch turning 45

The answer is 3"
6,How old was Cumberbatch when his career began?,22,actor,3,"

Benedict Timothy Carlton Cumberbatch was born on 19 July 1976.
He began his acting career in 1998.
Thus, when his career began, Cumberbatch was 22 years old.
The answer is 22"
7,How old was Benedict Cumberbatch when he started acting?,22,actor,3,"
Benedict Cumberbatch was born on 19 July 1976, so he was 45 years old when he started acting in 1998."
8,How many years has Benedict Cumberbatch been acting?,24,actor,3,"
Benedict Cumberbatch has been acting since 1998, so he has been acting for 24 years."
9,For how many years has Benedict Cumberbatch been married?,7,actor,3,"
Benedict Cumberbatch has been married to Sophie Hunter since 2015. 
The answer is 2015"
10,How old was Benedict Cumberbatch when he began acting?,22,actor,3,"
Benedict Cumberbatch was born on 19 July 1976, so he was 45 years old when he began acting in 1998."
11,How old was Dwayne Johnson when he began his wrestling career?,24,wrestling,7,"
Dwayne Johnson began his professional wrestling career in 1996 at the age of 24."
12,How old was Dwayne Johnson when he made his acting debut?,27,wrestling,7,"
Dwayne Johnson made his acting debut in 1999 with the film The Mummy Returns. He was 27 years old at that time. 

The answer is 27"
13,How many years after Dwayne Johnson's wrestling debut was his retirement?,23,wrestling,7,"
Johnson’s wrestling debut was in 1996. His retirement was in 2019, which is 23 years later. The answer is 23.

Final Answer:Twenty-three years after his wrestling debut, Dwayne Johnson retired from the sport in 2019. The answer is 23"
14,How many years after his debut did he retire?,23,wrestling,7,"
He debuted in 1996 and retired in 2019, which is 23 years later.
The answer is 23"
15,How many years was Joan Crawford active?,50,actor,8,1924-1974 = 50 years. The answer is 50
16,How many years did Joan Crawford and Franchot Tone live together?,4,actor,8,"

Joan Crawford and Franchot Tone were married from 1935 to 1939, so they lived together for 4 years, married."
17,How many years was Joan Crawford active?,50,actor,8,1924-1974 = 50 years. The answer is 50
18,How many years was Joan Crawford's career active?,50,actor,8,1924-1974 = 50 years. The answer is 50
19,How many years were Joan Crawford and Alfred Steele married?,4,actor,8,"
Joan Crawford was married to Alfred Steele from 1955 until his death in 1959. So, they were married for 4 years. The answer is 4"
20,How long in years did each of Joan Crawford's marriages last?,4,actor,8,"
Joan Crawford was married to:
Douglas Fairbanks Jr. (1929–1933), which is 4 years.
Franchot Tone (1935–1939), which is 4 years.
Phillip Terry (1942–1946), which is 4 years.
Alfred Steele (1955–1959), which is "
21,At what age did Hebar Pazardzhik originally retire from his career?,39,wrestling,13,"
Hebar Pazardzhik originally retired from his career at the age of 26."
22,How many years ago did Hebar Pazardzhik debut his first match?,33,wrestling,13,"

Hebar Pazardzhik debuted his first match on September 30, 1989. 

The number of years ago his debut was is 2022 - 1989 = 33 years.

The answer is 33"
23,For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?,5,wrestling,13,"
1990 - 1992 = 2 years
1992 - 1999 = 7 years
7 - 2 = 5 years
Kathryn Burrhus and Steve Austin were married for 2 years, while Jeanie Clarke and Steve Austin were married for 5 years.
The answer is 5"
24,How old was Steve Austin when he started his wrestling career?,25,wrestling,13,"
Steve Austin started his wrestling career on September 30, 1989. He was 24 years old at that time. The answer is 24"
25,How many years elapsed between Steve Austin's first retirement and his return match?,19,wrestling,13,"2003 - 2022 = 19 years
So, 19 years elapsed between Steve Austin's first retirement and his return match.
The answer is 19"
26,How old was Steve Austin when he began his professional wrestling career?,25,wrestling,13,"
Steve Austin began his professional wrestling career on September 30, 1989, at the age of 24."
27,How old was Steve Austin when he originally retired from professional wrestling?,38,wrestling,13,"
Steve Austin retired from professional wrestling for the first time on March 30, 2003. He was 38 years old at that time. The answer is 38"
28,How many years after Ethiopia was first established did Mekelle become its capital?,601,empire,22,"
The first capital of Ethiopia was Gondar, and it was the capital from 1635 to 1855. Then, the capital was moved to Magdala from 1855 to 1871, and finally, it was moved to Addis Ababa in 1889, a total of 184 years after the first establishment of Ethiopia. Mekelle did not become the capital until 1"
29,How many years longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?,3,empire,22,"
Yekuno Amlak reigned for 17 years.
Habte Giyorgis was prime minister for 27 years.
27 - 17 = 10 years
Habte Giyorgis was prime minister 10 years longer than Yekuno Amlak was emperor.
The answer is 10"
