question,answer,category,table_id,answer_format
At what age did Adolf von Baeyer marry Adelheid Bendemann?,33,nobel,369,<num_years>
At what age did Adolf von Baeyer marry Adelheid Bendemann?,33,nobel,369,<num_years>
At what age did Adolf von Baeyer receive the Nobel Prize?,70,nobel,369,<num_years>
At what age did Adolf von Baeyer receive the Nobel Prize?,70,nobel,369,<num_years>
At what age did Albert A. Michelson die?,78,nobel,370,<num_years>
At what age did Albert A. Michelson marry his first wife Margaret Hemingway?,25,nobel,370,<num_years>
At what age did Albert A. Michelson marry his second wife Edna Stanton?,47,nobel,370,<num_years>
Approximately how many months after being apprehended did Jeffrey Epstein die by suicide?,1,person,340,<num_months>
At what age did Bev Francis retire from her career?,36,body builder,778,<num_years>
At what age did Brandon Miller earn a spot on the 2nd Team All-Pro?,34,lacrosse,644,<num_years>
At what age did Gorshkova begin skating?,4,figure skating,743,<num_years>
At what age did Hebar Pazardzhik originally retire from his career?,39,wrestling,13,<num_years>
At what age did Jeffrey Epstein get work release?,55,person,340,<num_years>
"Between 2018 and 2021, which year was Belarus's GDP growth the highest?",2021,economy,235,yyyy
Around what year would Chandrayaan-2's orbiter's planned mission duration end according to the launch date?,2027,space probe,457,yyyy
At what age did Johann Friedrich Wilhelm Adolf Baeyer win the Davy Medal?,46,nobel,369,<num_years>
At what age did Max Aaron begin skating?,4,figure skating,747,<num_years>
At what age did Melissa L. Coates retire from wrestling?,49,body builder,806,<num_years>
At what age did Paul Gauguin marry Mette-Sophie Gad?,25,painter,349,<num_years>
At what age did Paul Gauguin separate from Mette-Sophie Gad?,46,painter,349,<num_years>
At what age did Paul Gauguin separate from Teha'amana?,45,painter,349,<num_years>
At what age did Pierre Auguste Cot die?,46,painter,350,<num_years>
At what age did Pierre Auguste Cot finish The Storm?,43,painter,350,<num_years>
At what age did Roger Federer get his highest ranking?,23,tennis,512,<num_years>
At what age did Stephen Hawking divorce his first wife?,53,nobel,352,<num_years>
At what age did Stephen Hawking divorce Jane Wilde?,53,nobel,352,<num_years>
At what age did Stephen Hawking marry Elaine Mason?,53,nobel,352,<num_years>
"Between 2018 and 2021, which year was Belarus's GDP growth the lowest?",2020,economy,235,yyyy
At what age did Stephen Hawking marry Jane Wilde?,23,nobel,352,<num_years>
At what age did Stephen Hawking win the Hughes Medal?,34,nobel,352,<num_years>
At what age did Steve Jobs become active in his career?,21,person,353,<num_years>
At what age did Steve Jobs end his partnership with Chrisann Brennan?,22,person,353,<num_years>
At what age did Steve Jobs first have a partner?,17,person,353,<num_years>
At what age did Steve Jobs marry his spouse?,36,person,353,<num_years>
At what age did Steve Jobs marry Laurene Powell?,36,person,353,<num_years>
At what age did Steve Jobs marry Laurene Powell?,36,person,353,<num_years>
For approximately how many more years has Esther Hayut been with the Supreme Court of Israel compared to Uzi Vogelman?,5,court,257,<num_years>
At what age did the artist complete his work The Gross Clinic?,31,painter,356,<num_years>
At what age did Theo Bot become Ambassador to Canada?,56,person,915,<num_years>
"At what age did Thomas Eakins create ""The Agnew Clinic""?",45,painter,356,<num_years>
At what age did Thomas Eakins die?,71,painter,356,<num_years>
At what age was Jeffrey Epstein apprehended?,66,person,340,<num_years>
During what year did Manning receive the most awards or highlights?,2003,rugby,75,yyyy
At what age was Stewart inducted into the NASCAR Hall of Fame?,49,racing,272,<num_years>
For how many years did Abdul Jeelani play professional basketball?,13,ice hockey,561,<num_years>
For how many years did Benny McCoy play professional baseball?,3,baseball,405,<num_years>
For how many years did Black Dog Siding operate under its original name?,90,railway,464,<num_years>
During what year did Russia's support end and Israel's support begin?,1990,civil war,979,yyyy
For how many years did Draško Nenadić play with his first team?,3,handball,492,<num_years>
"For how many years did Emilie Hegh Arntzen play for Byåsen HE, starting in 2014?",3,handball,493,<num_years>
In what year did Alexandra Boltasseva's longest streak of receiving an annual award begin?,2017,scientist,315,yyyy
For how many years did James Worthy play in the NBA?,12,nba,81,<num_years>
For how many years did Libya support the Ethiopian Civil War?,8,civil war,979,<num_years>
In what year did Atkinson win the most gold medals?,2015,swimming,669,yyyy
For how many years did Mauritania participate in the Western Sahara War starting from 1975?,4,military conflict,1014,<num_years>
For how many more years did Young play for the New York Giants during his second stint compared to his time with the Cincinnati Reds?,2,baseball,401,<num_years>
For how many years did Roger Federer play professionally before achieving his highest ranking?,6,tennis,512,<num_years>
In what year did Bayinnaung first reign?,1550,emperor,119,yyyy
For how many years did Žarko Marković play for Montenegro?,7,handball,504,<num_years>
For how many years had Benedict Cumberbatch been acting when he got married?,17,actor,3,<num_years>
For how many years has Benedict Cumberbatch been married?,7,actor,3,<num_years>
For how many years has the JF-17 Thunder been produced in Pakistan?,14,fighter,229,<num_years>
In what year did Blaze Riorden last win a medal at the World Indoor Lacrosse Championship?,2019,lacrosse,642,yyyy
For how many years was Access Hollywood known as Access?,2,show,1085,<num_years>
"For how many years was Access Hollywood known simply as ""Access""?",2,show,1085,<num_years>
For how many years was Alphonse Gallegos both Auxiliary Bishop of Sacramento and Titular Bishop of Sasabe?,10,christian leader,829,<num_years>
In what year did Boltasseva win the most awards?,2013,scientist,315,yyyy
For how many years was AT&T known as Southwestern Bell Corporation?,12,company,597,<num_years>
For how many years was Atlantis in publication?,35,board game,1163,<num_years>
For how many years was Robert K. Silverstein the producer for Access Hollywood?,20,show,1085,<num_years>
For how many years was the FAA Fairey Firefly produced?,14,aircraft,1128,<num_years>
In what year did Chen Yufei win the most medals?,2016,badminton,129,yyyy
For how many years was the PBY Catalina in production?,9,aircraft,1130,<num_years>
For how many years was the PBY Catalina manufactured?,9,aircraft,1130,<num_years>
For how many years was the X-15 used by NASA and the US Air Force?,9,space program,1132,<num_years>
In what year did China first participate in the Winter Olympics but not the Summer Olympics?,1994,athelete,1024,yyyy
For how many years was Yale University named Collegiate School?,17,university,611,<num_years>
How long in years after the Backwoods Barbie Tour did the Blue Smoke World Tour begin?,6,concert,1054,<num_years>
How long in years after the start of the Gaza–Israel conflict did Sudan cease to be a belligerent?,9,current war,1018,<num_years>
How long in years did Abdul Jeelani's playing career last?,13,ice hockey,561,<num_years>
In what year did Dennis Erickson receive his second national championship award?,1991,nfl,540,yyyy
How long in years did Alojzije Mišić serve as the Bishop of Mostar-Duvno?,30,christian leader,824,<num_years>
How long in years did Alphonse Gallegos serve as Auxiliary Bishop of Sacramento?,10,christian leader,829,<num_years>
How long in years did Alphonse Gallegos serve as Auxiliary Bishop of Sacramento?,10,christian leader,829,<num_years>
In what year did Dick King-Smith marry his first wife?,1943,book,929,yyyy
In what year did Dylon Molloy start his career?,2017,lacrosse,655,yyyy
How long in years did Ambrose Rayappan serve as Archbishop Emeritus of Pondicherry and Cuddalore from 1953?,20,christian leader,817,<num_years>
How long in years did Arnold Schwarzenegger work as Governor of California?,7,body builder,866,<num_years>
In what year did Emilie Hegh Arntzen receive her last medal?,2021,handball,493,yyyy
How long in years did Art Wilson play in the MLB?,13,baseball,400,<num_years>
How long in years did Belus Smawley's coaching career last?,5,basketball,566,<num_years>
How long in years did Bill Hewitt play for the Lakers?,1,basketball,568,<num_years>
How long in years did Black Dog Siding remain open?,102,railway,464,<num_years>
In what year did Jager win the most Olympic medals?,1988,swimming,118,yyyy
In what year did Kaija Parve-Helinurm win the most medals?,1985,skier,793,yyyy
How long in years did Casey Mears' career last in the Champ Car series?,2,martial artist,264,<num_years>
How long in years did each of Joan Crawford's marriages last?,4,actor,8,<num_years>
How long in years did it take Roy Emereson to go from amateur to pro?,15,tennis,50,<num_years>
How long in years did Michael Owen's senior career last?,17,footballer,479,<num_years>
How long in years did Miloš Obrenović I's reign last in which Karađorđe was his successor?,2,emperor,765,<num_years>
How long in years did Roy Emerson play in the amateur league before going professional?,15,tennis,50,<num_years>
In what year did Richard Caswell get into politics?,1776,politician,904,yyyy
How long in years did Roy Emerson play professionally?,15,tennis,50,<num_years>
How long in years did the Kalmar Union last?,140,empire,430,<num_years>
How long in years did the Mexican Empire last?,2,empire,433,<num_years>
How long in years did the recording of 21st Century Breakdown take?,1,music,1070,<num_years>
How long in years did the second renovation of the Birmingham–Jefferson Convention Complex last?,2,monument,751,<num_years>
How long in years did the Space Shuttle program run?,39,space program,1062,<num_years>
How long in years had AT&T been known by a different name?,22,company,597,<num_years>
In what year did Roy Emerson first win a Grand Slam Singles Tournament?,1961,tennis,50,yyyy
How long in years had the Salvadoran Civil War been going on when North Korea withdrew?,11,civil war,1022,<num_years>
How long in years has AC/DC been active in the music scene?,49,musician,468,<num_years>
In what year did Shi Yuqi win the most gold medals?,2014,badminton,166,yyyy
For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?,5,wrestling,13,<num_years>
How long in years has Belarus been under its current Constitution?,28,country,438,<num_years>
How long in years has Dylan Molloy been playing professionally?,5,lacrosse,655,<num_years>
How long in years has Rudolf Thienel been President of the Supreme Administrative Court?,8,court,254,<num_years>
How long in years has the church been open in total?,239,church,715,<num_years>
In what year did the first launch occur at the Satish Dhawan Space Centre?,1979,launchpad,628,yyyy
How long in years has the current AT&T logo been in use?,6,company,597,<num_years>
In what year did Wang Xiaoli win the most bronze medals?,2006,badminton,174,yyyy
In what year did Zinedine Zidane start his senior career?,1989,footballer,40,yyyy
"In what year was ""21st Century Breakdown"" first recorded?",2008,music,1070,yyyy
"In what year was ""The Gross Clinic"" created?",1875,painter,356,yyyy
How long in years has V/Line been a corporation?,19,agency,1141,<num_years>
How long in years has Yale University been in existence?,321,university,611,<num_years>
How long in years was Alessandro Riguccini with his second team?,2,martial artist,840,<num_years>
How many months after the beginning of his reign as King of Burma was Bayinnaung's coronation in Toungoo?,9,emperor,119,<num_months>
How long in days after Ingenuity was deployed was the picture taken?,4,space probe,1206,<num_days>
In what year was Ambassadors Group founded?,1967,website,600,yyyy
How long in years was Alojzije Mišić the Bishop of Mostar-Duvno and Apostolic Administrator of Trebinje-Mrkan?,30,christian leader,824,<num_years>
How long in years was Arnold Schwarzenegger married?,35,body builder,866,<num_years>
How long after 20th Century Studios was founded was it owned by Walt Disney?,84,company,592,<num_years>
On what date did Peter III assume his first role?,"July 27, 1276",emperor,122,"%B %d, %Y"
How long in years was Arnold Schwarzenegger the governor of California?,7,body builder,866,<num_years>
How long in years was Belus Smawley's playing career?,6,basketball,566,<num_years>
How long in years was Bev Francis's professional career?,8,body builder,778,<num_years>
How long in years was Bill Hewitt's playing career?,6,basketball,568,<num_years>
How long after Cumberbatch started his career did he marry Sophie Hunter​?,17,actor,3,<num_years>
In what year was Blaze Riorden last named an All-Star in the PLL?,2021,lacrosse,642,yyyy
How long in years was Dick King-Smith married to his second wife?,10,book,929,<num_years>
How long in years was it between Aruna Quadri achieving his highest rank and his silver medal at the Commonwealth Games?,4,tabletennis,710,<num_years>
In what year was FATE first published?,2003,game,1175,yyyy
How long in years was it between Sri Lanka's first ODI and first T20I?,31,national cricket team,1191,<num_years>
In what year was Jacobs University founded?,2001,university,624,yyyy
How long after Dick King-Smith's first wife died did he marry his second wife?,1,book,929,<num_years>
In what year was Pierre Auguste Cot born?,1837,painter,350,yyyy
How long in years was it between the first and the last time Brandon Miller won the Harry Lumley Trophy?,12,lacrosse,644,<num_years>
How long after Minaj's career began did she marry Kenneth Petty?,15,musician,347,<num_years>
In what year was the most recent edition of Heroes Unlimited published?,1998,game,1151,yyyy
How long in years was José Manuel de Herrera Prime Minister of the Mexican Empire?,1,empire,433,<num_years>
How long in years was José Manuel de Herrera Prime Minister of the Mexican Empire?,1,empire,433,<num_years>
How long in years was Leo Diegel married?,17,golf,68,<num_years>
How long in years was Mišić's bishop term?,30,christian leader,824,<num_years>
In what year was the NYSE founded?,1792,monument,626,yyyy
How long in years was Nate Archibald's career since 1970?,14,nba,83,<num_years>
How long in years was Nicki Minaj with her second partner?,3,musician,347,<num_years>
How long in years was Paul Gauguin married to Teha'amana?,2,painter,349,<num_years>
How long in years was Probe in production?,18,board game,1188,<num_years>
How long after the first flight of the B-24 Skua was it withdrawn from other duties?,8,aircraft,226,<num_years>
How long in years was Reichsführer-SS Heinrich Himmler the responsible minister for the Coordination Center for Ethnic Germans?,6,agency,1139,<num_years>
How long in years was Richard Caswell married to his wife?,5,politician,904,<num_years>
How long in years was Robert K. Silverstein a producer for Access Hollywood?,20,show,1085,<num_years>
How long did Peter III rule as King of Aragon and Valencia?,9,emperor,122,<num_years>
How long in years was the Birmingham–Jefferson Convention Complex open before it was renovated in 2009?,37,monument,751,<num_years>
How long in years was the career of Bev Francis?,8,body builder,778,<num_years>
How long had Adolf von Baeyer been married when he won the Davy Medal?,13,nobel,369,<num_years>
How long has the JF-17 Thunder been used in Pakistan?,15,fighter,229,<num_years>
In what year was Valderøy Church founded?,1961,church,714,yyyy
How long in years was the longest tenure of another post Mišić ever held?,10,christian leader,824,<num_years>
How long in years was the PBY Catalina in commission by the US Navy?,21,aircraft,1130,<num_years>
"How long is ""8 Mile"" in minutes?",110,movie,1077,<num_minutes>
How long in years was the time between the first and fourth editions of Catan?,12,board game,1147,<num_years>
How long is the album single?,5:09,song,1070,MM:SS
How long was Melissa L. Coates's wrestling career in years?,18,body builder,806,<num_years>
How long in years was V/Line branded as an Authority?,20,agency,1141,<num_years>
How many months has it been since Horacio Rosatti became President of the Supreme Court of Argentina?,8,court,253,<num_months>
How long in years was Valen Chapel in operation after its completion?,166,church,715,<num_years>
How many months has Carlos Rosenkrantz been in the office of Vice President of the Supreme Court of Argentina?,8,court,253,<num_months>
How long in years were Chrisann Brennan and Steven Paul Jobs partners?,5,person,353,<num_years>
How long was the 49th Parallel in minutes?,123,movie,1078,<num_minutes>
How many complete months had passed in the year before the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad occurred?,7,athelete,963,<num_months>
How long in years years did Dennis Erickson work as the head coach for Idaho starting in 1982?,3,nfl,540,<num_years>
How many more years did Libya support the EPRDF than the other side in the Ethiopian Civil War?,2,civil war,979,<num_years>
How many more years did Manning play for the New York Giants than for Ole Miss?,11,rugby,75,<num_years>
How many full months did the 14 On Fire concert tour span?,8,concert,1035,<num_months>
How many more years did Owen play for Liverpool than Newcastle United?,4,footballer,479,<num_years>
How many more years was Ashkenazi a leader in the conflict than Ehud Olmert?,2,current war,1018,<num_years>
How many full years passed between Ambrose Rayappan's ordination and consecration?,29,christian leader,817,<num_years>
How many more years was Mostafa Pourmohammadi a leader than Ali Shamkhani?,2,current war,990,<num_years>
How many more years was Riguccini on team Balistic than on X1 Boxing?,10,martial artist,840,<num_years>
How many quarters has Arkham Horror been active?,21,game,1161,<num_quarters>
How many total years did Benny McCoy for MLB?,3,baseball,405,<num_years>
How many total years did Derrell Palmer play in the NFL?,7,nfl,546,<num_years>
How many total years did Roy Emerson play as both an amateur and a professional?,30,tennis,50,<num_years>
How many total years was Art Carney married to Jean Myers?,28,actor,2,<num_years>
"How many years after ""21st Century Breakdown"" was its next single released?",1,music,1070,<num_years>
In what year would Davy Jones have turned 30?,1994,racing,517,yyyy
How many years after 14 On Fire did the next tour occur?,1,concert,1035,<num_years>
How many years after achieving a personal best score in the short program did Aaron retire?,3,figure skating,747,<num_years>
How many years after achieving its best test ranking did Australia achieve its best ODI ranking?,38,cricket team,1164,<num_years>
How many years after acquiring its test status did Australia become a full member of the ICC?,32,cricket team,1164,<num_years>
How many years after acquiring its Test status did England achieve full ICC status?,32,cricket team,1172,<num_years>
How many years after Alojzije Mišić was ordained did he become the Bishop of Mostar-Duvno and Apostolic Administrator of Trebinje-Mrkan?,30,christian leader,824,<num_years>
In which year did Carolina Albuquerque win the most gold medals in international competition?,2008,volleyball,93,yyyy
How many years after Alphonse Gallegos's ordination was his consecration?,23,christian leader,829,<num_years>
How many years after Anthony Pollina became Senate Progressive Leader did Molly Gray become President of the Senate?,10,legislature,936,<num_years>
In which year did Hogan become an actor?,1982,wrestling,339,yyyy
How many years after Anthony Pollina became Senate Progressive Leader did Randy Brock become Senate Minority Leader?,10,legislature,936,<num_years>
In which year did Hungary first participate in the Winter Olympics?,1924,athelete,1026,yyyy
How many years after Argentina's biggest win did it make its first appearance at the Panamerican Championship?,14,national football team,1160,<num_years>
How many years after attending Ole Miss did Eli Manning win the Bart Starr award?,21,rugby,75,<num_years>
How much longer in years was Jeelani's NBA career than his college career?,9,ice hockey,561,<num_years>
How many years after Becca Balint became President pro tempore of the Senate did Alison Clarkson become the Senate Majority Leader?,0,legislature,936,<num_years>
How many years after becoming a Member of the Parliament of Iran did Mohammad-Ali Foroughi become Minister of Foreign Affairs?,14,office holder,928,<num_years>
In which year did Stéphane Antiga win gold at the World Championships?,2014,volleyball,588,yyyy
In which year was Valderøy Church founded?,1961,church,714,yyyy
How many years after becoming active did Riguccini join Zanfer Promotions?,13,martial artist,840,<num_years>
What was the first year Emilie Hegh Arntzen won a medal in the European Championships?,2014,handball,493,yyyy
How many years after becoming active did Steve Jobs get married?,15,person,353,<num_years>
What was the first year Frank Urso became an NCAA D-I Champion?,1973,lacrosse,656,yyyy
How many years after beginning his military service did Watanjar first take office as Minister of Communications?,11,office holder,913,<num_years>
How many years after Break the Cycle was Chapter V released?,4,album,942,<num_years>
How many years after breaking ground did OSC Metalist Stadium open?,1,stadium,627,<num_years>
What was the first year Jack Nicklaus won a Masters Tournament?,1963,golf,66,yyyy
